country_iso2,report_year,sector_code,sector_name,sector_waste_tonnes,pct_of_country_total,sector_rank
LT,2014,D,"Electricity, gas, steam and air conditioning supply",16357,6.4,9
LT,2014,G-U_X_G4677,Services (except wholesale of waste and scrap),80104,41.5,1
LT,2014,EP_HH,Households,35016,18.2,2
LT,2014,E,"Water supply, sewerage, waste management",31163,16.2,3
LT,2014,B,Mining and quarrying,306,0.2,4
LT,2014,G4677,Wholesale of waste and scrap,2705,1.4,5
LT,2014,F,Construction,17231,8.9,6
LT,2014,A,"Agriculture, forestry and fishing",1421,0.7,7
LT,2014,C,Manufacturing,13902,7.2,8
LT,2014,D,"Electricity, gas, steam and air conditioning supply",11016,5.7,9
LT,2014,A,"Agriculture, forestry and fishing",885,0.5,1
LT,2014,G4677,Wholesale of waste and scrap,835,0.5,2
LT,2014,G-U_X_G4677,Services (except wholesale of waste and scrap),72226,41,3
LT,2014,EP_HH,Households,33739,19.2,4
LT,2014,E,"Water supply, sewerage, waste management",24283,13.8,5
LT,2014,C,Manufacturing,23222,13.2,6
LT,2014,B,Mining and quarrying,125,0.1,7
LT,2014,D,"Electricity, gas, steam and air conditioning supply",10546,6,8
LT,2014,F,Construction,10090,5.7,9
LT,2014,D,"Electricity, gas, steam and air conditioning supply",9871,6,1
LT,2014,F,Construction,8829,5.3,2
LT,2014,G4677,Wholesale of waste and scrap,693,0.4,3
LT,2014,G-U_X_G4677,Services (except wholesale of waste and scrap),56251,34,4
LT,2014,EP_HH,Households,45810,27.7,5
LT,2014,A,"Agriculture, forestry and fishing",2715,1.6,6
LT,2014,E,"Water supply, sewerage, waste management",25527,15.4,7
LT,2014,B,Mining and quarrying,173,0.1,8
LT,2014,C,Manufacturing,15608,9.4,9
LT,2014,G4677,Wholesale of waste and scrap,861,0.6,1
LT,2014,F,Construction,5758,4.2,2
LT,2014,G-U_X_G4677,Services (except wholesale of waste and scrap),45539,33.3,3
LT,2014,EP_HH,Households,40150,29.4,4
LT,2014,A,"Agriculture, forestry and fishing",2490,1.8,5
LT,2014,E,"Water supply, sewerage, waste management",24448,17.9,6
LT,2014,D,"Electricity, gas, steam and air conditioning supply",2352,1.7,7
LT,2014,C,Manufacturing,15051,11,8
LT,2014,B,Mining and quarrying,137,0.1,9
LT,2014,B,Mining and quarrying,648,0.6,1
LT,2014,G4677,Wholesale of waste and scrap,44072,41.8,2
LT,2014,F,Construction,3862,3.7,3
LT,2014,A,"Agriculture, forestry and fishing",2892,2.7,4
